Gene,Gene ID,drugs,ID,ADME
DRD2,1813,"Amphetamine,Ziprasidone,Cabergoline,Ropinirole,Olanzapine,Clozapine,Mirtazapine,Loxapine,Remoxipride,Pramipexole,Promazine,Prochlorperazine,Droperidol,Imipramine,Chlorpromazine,Buspirone,Haloperidol,Triflupromazine,Nortriptyline,Amoxapine,Lamotrigine,Cinnarizine,Lisuride,Fluphenazine,Thioridazine,Ergotamine,Apomorphine,Trimipramine,Risperidone,Propiomazine,Minaprine,Trifluoperazine,Perphenazine,Flupentixol,Amantadine,Mesoridazine,Maprotiline,Dopamine,Memantine,Ergoloid mesylate,Promethazine,Pimozide,Doxepin,Desipramine,Domperidone,Pergolide,Bromocriptine,Ketamine,Quetiapine,Metoclopramide,Levodopa,Aripiprazole,Chlorprothixene,Paliperidone,Yohimbine,Methotrimeprazine,Acepromazine,Molindone,Pipotiazine,Thioproperazine,Thiothixene,Zuclopenthixol,Fluspirilene,Tetrabenazine,Iloperidone,Rotigotine,Pimavanserin,Cariprazine,Sertindole,Mianserin,Asenapine,Amisulpride,Lurasidone,Perospirone,Brexpiprazole,Blonanserin,Melperone,Zotepine,Pipamperone","DB00182,DB00246,DB00248,DB00268,DB00334,DB00363,DB00370,DB00408,DB00409,DB00413,DB00420,DB00433,DB00450,DB00458,DB00477,DB00490,DB00502,DB00508,DB00540,DB00543,DB00555,DB00568,DB00589,DB00623,DB00679,DB00696,DB00714,DB00726,DB00734,DB00777,DB00805,DB00831,DB00850,DB00875,DB00915,DB00933,DB00934,DB00988,DB01043,DB01049,DB01069,DB01100,DB01142,DB01151,DB01184,DB01186,DB01200,DB01221,DB01224,DB01233,DB01235,DB01238,DB01239,DB01267,DB01392,DB01403,DB01614,DB01618,DB01621,DB01622,DB01623,DB01624,DB04842,DB04844,DB04946,DB05271,DB05316,DB06016,DB06144,DB06148,DB06216,DB06288,DB08815,DB08922,DB09128,DB09223,DB09224,DB09225,DB09286",
DRD3,1814,"Ziprasidone,Cabergoline,Ropinirole,Olanzapine,Clozapine,Mirtazapine,Loxapine,Remoxipride,Pramipexole,Chlorpromazine,Haloperidol,Amoxapine,Lisuride,Apomorphine,Risperidone,Dopamine,Pimozide,Domperidone,Pergolide,Bromocriptine,Quetiapine,Levodopa,Aripiprazole,Chlorprothixene,Paliperidone,Yohimbine,Methotrimeprazine,Iloperidone,Rotigotine,Cariprazine,Mianserin,Asenapine,Amisulpride,Captodiame,Blonanserin,Pipamperone","DB00246,DB00248,DB00268,DB00334,DB00363,DB00370,DB00408,DB00409,DB00413,DB00477,DB00502,DB00543,DB00589,DB00714,DB00734,DB00988,DB01100,DB01184,DB01186,DB01200,DB01224,DB01235,DB01238,DB01239,DB01267,DB01392,DB01403,DB04946,DB05271,DB06016,DB06148,DB06216,DB06288,DB09014,DB09223,DB09286",
DRD4,1815,"Ziprasidone,Cabergoline,Ropinirole,Olanzapine,Clozapine,Loxapine,Remoxipride,Pramipexole,Promazine,Chlorpromazine,Amoxapine,Lisuride,Apomorphine,Risperidone,Propiomazine,Dopamine,Pergolide,Bromocriptine,Quetiapine,Levodopa,Aripiprazole,Paliperidone,Methotrimeprazine,Flibanserin,Iloperidone,Rotigotine,Asenapine,Perospirone,Pipamperone","DB00246,DB00248,DB00268,DB00334,DB00363,DB00408,DB00409,DB00413,DB00420,DB00477,DB00543,DB00589,DB00714,DB00734,DB00777,DB00988,DB01186,DB01200,DB01224,DB01235,DB01238,DB01267,DB01403,DB04908,DB04946,DB05271,DB06216,DB08922,DB09286",
DRD5,1816,"Ziprasidone,Cabergoline,Ropinirole,Olanzapine,Loxapine,Pramipexole,Chlorpromazine,Lisuride,Apomorphine,Fenoldopam,Dopamine,Pergolide,Bromocriptine,Quetiapine,Levodopa,Aripiprazole,Methotrimeprazine,Zuclopenthixol,Rotigotine","DB00246,DB00248,DB00268,DB00334,DB00408,DB00413,DB00477,DB00589,DB00714,DB00800,DB00988,DB01186,DB01200,DB01224,DB01235,DB01238,DB01403,DB01624,DB05271",
DSP,1832,Zinc,DB01593,
DXR,NaN,Citric Acid,DB04272,
EBP,10682,Tamoxifen,DB00675,
EDA,1896,Citric Acid,DB04272,
EDNRA,1909,"Bosentan,Acetylsalicylic acid,Sitaxentan,Ambrisentan,Macitentan","DB00559,DB00945,DB06268,DB06403,DB08932",
EDNRB,1910,"Bosentan,Sitaxentan,Ambrisentan,Macitentan","DB00559,DB06268,DB06403,DB08932",
EEF1A1,1915,Zinc,DB01593,
EFL1,79631,Deoxycholic Acid,DB03619,
EGFR,1956,"Trastuzumab,Lidocaine,Gefitinib,Erlotinib,Lapatinib,Vandetanib,Afatinib,Osimertinib,Neratinib","DB00072,DB00281,DB00317,DB00530,DB01259,DB05294,DB08916,DB09330,DB11828",
EHHADH,1962,NADH,DB00157,
ELN,2006,Rofecoxib,DB00533,
ELTB,NaN,Benzoic Acid,DB03793,
ENO,NaN,Glycerin,DB09462,
ENO1,2023,Zinc,DB01593,
ENPP1,5167,Amifostine,DB01143,
EPHA2,1969,"Dasatinib,Regorafenib","DB01254,DB08896",
EPHA5,2044,Dasatinib,DB01254,
EPHB4,2050,Dasatinib,DB01254,
EPX,8288,Melatonin,DB01065,
ERBB2,2064,"Trastuzumab,Lapatinib,Trastuzumab emtansine,Afatinib","DB00072,DB01259,DB05773,DB08916",
ERBB4,2066,Afatinib,DB08916,
ERG11,NaN,"Fluconazole,Oxiconazole,Clotrimazole,Tioconazole,Ketoconazole,Miconazole,Econazole,Itraconazole,Posaconazole,Bifonazole,Luliconazole,Isavuconazole","DB00196,DB00239,DB00257,DB01007,DB01026,DB01110,DB01127,DB01167,DB01263,DB04794,DB08933,DB11633",
ERG7,NaN,Oxiconazole,DB00239,
ERVK-32,110006328,"Citric Acid,Etravirine","DB04272,DB06414",
ESD,2098,Glutathione,DB00143,
ESR1,2099,"Diethylstilbestrol,Conjugated estrogens,Etonogestrel,Desogestrel,Levonorgestrel,Progesterone,Raloxifene,Toremifene,Medroxyprogesterone acetate,Testosterone,Mitotane,Estrone,Tamoxifen,Estradiol,Ethynodiol diacetate,Clomifene,Dienestrol,Fulvestrant,Norgestimate,Ethinyl Estradiol,Melatonin,Trilostane,Naloxone,Fluoxymesterone,Estramustine,Mestranol,Danazol,Oxybenzone,Zinc,Prasterone,Resveratrol,Estriol,Estrone sulfate,Quinestrol,Phenolphthalein,Permethrin,Ospemifene,Lasofoxifene,Bazedoxifene,Methyltestosterone,Tibolone,Eugenol,Synthetic Conjugated Estrogens A,Synthetic Conjugated Estrogens B,Polyestradiol phosphate,Homosalate,Phenyl salicylate,Enzacamene,Gestrinone,Testosterone cypionate,Testosterone enanthate,Testosterone undecanoate,Estradiol acetate,Estradiol benzoate,Estradiol cypionate,Estradiol dienanthate,Estradiol valerate","DB00255,DB00286,DB00294,DB00304,DB00367,DB00396,DB00481,DB00539,DB00603,DB00624,DB00648,DB00655,DB00675,DB00783,DB00823,DB00882,DB00890,DB00947,DB00957,DB00977,DB01065,DB01108,DB01183,DB01185,DB01196,DB01357,DB01406,DB01428,DB01593,DB01708,DB02709,DB04573,DB04574,DB04575,DB04824,DB04930,DB04938,DB06202,DB06401,DB06710,DB09070,DB09086,DB09317,DB09318,DB09369,DB11064,DB11071,DB11219,DB11619,DB13943,DB13944,DB13946,DB13952,DB13953,DB13954,DB13955,DB13956",
ESR2,2100,"Diethylstilbestrol,Raloxifene,Estrone,Tamoxifen,Estradiol,Trilostane,Estramustine,Oxybenzone,Prasterone,Estriol,Estrone sulfate,Lasofoxifene,Bazedoxifene,Eugenol,Enzacamene,Estradiol acetate,Estradiol benzoate,Estradiol cypionate,Estradiol dienanthate,Estradiol valerate","DB00255,DB00481,DB00655,DB00675,DB00783,DB01108,DB01196,DB01428,DB01708,DB04573,DB04574,DB06202,DB06401,DB09086,DB11219,DB13952,DB13953,DB13954,DB13955,DB13956",
ESRRA,2101,Diethylstilbestrol,DB00255,
ESRRB,2103,Diethylstilbestrol,DB00255,
ESRRG,2104,"Diethylstilbestrol,Tamoxifen,Estradiol,Cholic Acid,Estradiol acetate,Estradiol benzoate,Estradiol cypionate,Estradiol dienanthate,Estradiol valerate","DB00255,DB00675,DB00783,DB02659,DB13952,DB13953,DB13954,DB13955,DB13956",
F10,2159,"Rivaroxaban,Apixaban,Edoxaban,Betrixaban","DB06228,DB06605,DB09075,DB12364",
F11,2160,"Human C1-esterase inhibitor,Conestat alfa","DB06404,DB09228",
F12,2161,"Zinc,Human C1-esterase inhibitor,Ethanolamine Oleate,Conestat alfa","DB01593,DB06404,DB06689,DB09228",
F13B,2165,Zinc,DB01593,
F2,2147,"Argatroban,Zinc,Ximelagatran,Human C1-esterase inhibitor,Dabigatran etexilate,Conestat alfa,Betrixaban","DB00278,DB01593,DB04898,DB06404,DB06695,DB09228,DB12364",True
FAAH,2166,"Acetaminophen,Thiopental,Propofol,Cannabidiol","DB00316,DB00599,DB00818,DB09061",True
FABB,NaN,Caprylic acid,DB04519,
FABP1,2168,"Cholic Acid,Oleic Acid","DB02659,DB04224",True
FABP2,2169,"Estradiol,Ibuprofen,Sulfinpyrazone,Palmitic Acid,Dexibuprofen,Estradiol acetate,Estradiol benzoate,Estradiol cypionate,Estradiol dienanthate,Estradiol valerate","DB00783,DB01050,DB01138,DB03796,DB09213,DB13952,DB13953,DB13954,DB13955,DB13956",True
FABP3,2170,"Palmitic Acid,Oleic Acid","DB03796,DB04224",True
FABP4,2167,"Palmitic Acid,Oleic Acid","DB03796,DB04224",True
FABP5,2171,Palmitic Acid,DB03796,True
FABP6,2172,Cholic Acid,DB02659,
FABP7,2173,"Dihomo-gamma-linolenic acid,Icosapent,Doconexent,Oleic Acid","DB00154,DB00159,DB03756,DB04224",True
FADS1,3992,Icosapent,DB00159,
FAM174A,345757,"Ledipasvir,Ombitasvir","DB09027,DB09296",
FASN,2194,Orlistat,DB01083,
FAXC,84553,Chloroquine,DB00608,
FBPA,NaN,Citric Acid,DB04272,
FCGR1A,2209,"Etanercept,Trastuzumab","DB00005,DB00072",
FCGR2A,2212,"Etanercept,Trastuzumab","DB00005,DB00072",
FCGR2B,2213,"Etanercept,Trastuzumab","DB00005,DB00072",
FCGR2C,9103,"Etanercept,Trastuzumab","DB00005,DB00072",
FCGR3A,2214,"Etanercept,Trastuzumab","DB00005,DB00072",
FCGR3B,2215,"Etanercept,Trastuzumab","DB00005,DB00072",
FCN3,8547,Zinc,DB01593,
FDPS,2224,"Zoledronic acid,Risedronate","DB00399,DB00884",
FDX1,2230,Mitotane,DB00648,
FECH,2235,Cholic Acid,DB02659,
FFAR1,2864,Icosapent,DB00159,
FGA,2243,Zinc,DB01593,
FGF1,2246,Pazopanib,DB06589,
FGF2,2247,Sirolimus,DB00877,
FGFR1,2260,"Sorafenib,Regorafenib,Ponatinib,Lenvatinib,Nintedanib","DB00398,DB08896,DB08901,DB09078,DB09079",
FGFR2,2263,"Thalidomide,Regorafenib,Ponatinib,Lenvatinib,Nintedanib,Glycerin","DB01041,DB08896,DB08901,DB09078,DB09079,DB09462",
FGFR3,2261,"Pazopanib,Ponatinib,Lenvatinib,Nintedanib","DB06589,DB08901,DB09078,DB09079",
FGFR4,2264,"Ponatinib,Lenvatinib","DB08901,DB09078",
FGR,2268,Dasatinib,DB01254,
FKBP1A,2280,"Pimecrolimus,Tacrolimus,Sirolimus","DB00337,DB00864,DB00877",
FKSA,NaN,Caspofungin,DB00520,
FLT1,2321,"Sorafenib,Sunitinib,Pazopanib,Axitinib,Regorafenib,Lenvatinib,Nintedanib","DB00398,DB01268,DB06589,DB06626,DB08896,DB09078,DB09079",
FLT3,2322,"Sorafenib,Sunitinib,Midostaurin,Ponatinib,Nintedanib","DB00398,DB01268,DB06595,DB08901,DB09079",
FLT4,2324,"Sorafenib,Sunitinib,Pazopanib,Axitinib,Regorafenib,Lenvatinib,Nintedanib","DB00398,DB01268,DB06589,DB06626,DB08896,DB09078,DB09079",
FMO1,2326,"Cevimeline,Cimetidine,Tamoxifen,Lorcaserin,Vandetanib","DB00185,DB00501,DB00675,DB04871,DB05294",True
FMO3,2328,"Olanzapine,Clozapine,Cimetidine,Tamoxifen,Almotriptan,Dasatinib,Vandetanib,Neratinib","DB00334,DB00363,DB00501,DB00675,DB00918,DB01254,DB05294,DB11828",True
FN1,2335,Zinc,DB01593,
FOLA,NaN,Isoniazid,DB00951,
FOLC,NaN,Sulfamethoxazole,DB01015,
FOLK,NaN,Aminosalicylic Acid,DB00233,
FOLP,NaN,"Sulfisoxazole,Sulfamethizole,Sulfamethoxazole,Sulfaphenazole","DB00263,DB00576,DB01015,DB06729",
FOLR1,2348,"Folic Acid,Methotrexate","DB00158,DB00563",True
FOLR2,2350,Folic Acid,DB00158,
FOLR3,2352,Folic Acid,DB00158,
FPGS,2356,Methotrexate,DB00563,True
FRK,2444,"Dasatinib,Regorafenib","DB01254,DB08896",
FTCD,10841,Pyridoxal Phosphate,DB00114,
FTSI,NaN,"Ceftazidime,Cefazolin,Cefoperazone","DB00438,DB01327,DB01329",
FTSY,NaN,Citric Acid,DB04272,
FTSZ,NaN,Citric Acid,DB04272,
FUMC,NaN,Citric Acid,DB04272,
FXN,2395,Thiabendazole,DB00730,
FXYD2,486,Cyclothiazide,DB00606,
FYN,2534,Dasatinib,DB01254,
GABBR1,2550,"Baclofen,Gabapentin","DB00181,DB00996",
GABBR2,9568,"Baclofen,Gabapentin","DB00181,DB00996",
GABRA1,2554,"Enflurane,Pentobarbital,Olanzapine,Clobazam,Meprobamate,Eszopiclone,Alprazolam,Secobarbital,Chlordiazepoxide,Amoxapine,Lamotrigine,Thiopental,Clorazepate,Midazolam,Flurazepam,Isoflurane,Propofol,Diazepam,Oxazepam,Triazolam,Ethanol,Zaleplon,Methoxyflurane,Ergoloid mesylate,Clonazepam,Methyprylon,Thiamylal,Halothane,Phenobarbital,Desflurane,Zopiclone,Estazolam,Sevoflurane,Ginkgo biloba,Bromazepam,Clotiazepam,Ketazolam,Prazepam,Nitrazepam,Prasterone,Etizolam,Apalutamide","DB00228,DB00312,DB00334,DB00349,DB00371,DB00402,DB00404,DB00418,DB00475,DB00543,DB00555,DB00599,DB00628,DB00683,DB00690,DB00753,DB00818,DB00829,DB00842,DB00897,DB00898,DB00962,DB01028,DB01049,DB01068,DB01107,DB01154,DB01159,DB01174,DB01189,DB01198,DB01215,DB01236,DB01381,DB01558,DB01559,DB01587,DB01588,DB01595,DB01708,DB09166,DB11901",
GABRA2,2555,"Pentobarbital,Meprobamate,Eszopiclone,Secobarbital,Thiopental,Midazolam,Flurazepam,Diazepam,Oxazepam,Triazolam,Ethanol,Zopiclone,Estazolam,Bromazepam,Clotiazepam,Prazepam,Nitrazepam,Etizolam","DB00312,DB00371,DB00402,DB00418,DB00599,DB00683,DB00690,DB00829,DB00842,DB00897,DB00898,DB01198,DB01215,DB01558,DB01559,DB01588,DB01595,DB09166",
GABRA3,2556,"Pentobarbital,Meprobamate,Eszopiclone,Secobarbital,Thiopental,Midazolam,Flurazepam,Diazepam,Oxazepam,Triazolam,Ethanol,Zopiclone,Estazolam,Bromazepam,Clotiazepam,Prazepam,Nitrazepam,Etizolam","DB00312,DB00371,DB00402,DB00418,DB00599,DB00683,DB00690,DB00829,DB00842,DB00897,DB00898,DB01198,DB01215,DB01558,DB01559,DB01588,DB01595,DB09166",
GABRA4,2557,"Pentobarbital,Meprobamate,Secobarbital,Thiopental,Midazolam,Flurazepam,Oxazepam,Triazolam,Ethanol,Bromazepam,Nitrazepam","DB00312,DB00371,DB00418,DB00599,DB00683,DB00690,DB00842,DB00897,DB00898,DB01558,DB01595",
GABRA5,2558,"Pentobarbital,Meprobamate,Eszopiclone,Secobarbital,Thiopental,Midazolam,Flurazepam,Diazepam,Oxazepam,Triazolam,Ethanol,Zopiclone,Estazolam,Bromazepam,Clotiazepam,Prazepam,Nitrazepam","DB00312,DB00371,DB00402,DB00418,DB00599,DB00683,DB00690,DB00829,DB00842,DB00897,DB00898,DB01198,DB01215,DB01558,DB01559,DB01588,DB01595",
GABRA6,2559,"Pentobarbital,Meprobamate,Secobarbital,Thiopental,Midazolam,Flurazepam,Oxazepam,Triazolam,Ethanol,Bromazepam,Nitrazepam","DB00312,DB00371,DB00418,DB00599,DB00683,DB00690,DB00842,DB00897,DB00898,DB01558,DB01595",
GABRB1,2560,"Midazolam,Flurazepam,Diazepam,Oxazepam,Triazolam,Ethanol,Estazolam,Bromazepam,Clotiazepam,Ketazolam,Prazepam,Nitrazepam","DB00683,DB00690,DB00829,DB00842,DB00897,DB00898,DB01215,DB01558,DB01559,DB01587,DB01588,DB01595",
GABRB2,2561,"Midazolam,Flurazepam,Propofol,Diazepam,Oxazepam,Triazolam,Ethanol,Estazolam,Ginkgo biloba,Bromazepam,Clotiazepam,Prazepam,Nitrazepam","DB00683,DB00690,DB00818,DB00829,DB00842,DB00897,DB00898,DB01215,DB01381,DB01558,DB01559,DB01588,DB01595",
GABRB3,2562,"Piperazine,Ivermectin,Midazolam,Flurazepam,Propofol,Diazepam,Oxazepam,Triazolam,Ethanol,Estazolam,Bromazepam,Clotiazepam,Prazepam,Nitrazepam","DB00592,DB00602,DB00683,DB00690,DB00818,DB00829,DB00842,DB00897,DB00898,DB01215,DB01558,DB01559,DB01588,DB01595",
GABRD,2563,"Midazolam,Flurazepam,Diazepam,Oxazepam,Triazolam,Ethanol,Estazolam,Bromazepam,Clotiazepam,Ketazolam,Prazepam,Nitrazepam","DB00683,DB00690,DB00829,DB00842,DB00897,DB00898,DB01215,DB01558,DB01559,DB01587,DB01588,DB01595",
GABRE,2564,"Midazolam,Flurazepam,Diazepam,Oxazepam,Triazolam,Ethanol,Estazolam,Bromazepam,Clotiazepam,Ketazolam,Prazepam,Nitrazepam","DB00683,DB00690,DB00829,DB00842,DB00897,DB00898,DB01215,DB01558,DB01559,DB01587,DB01588,DB01595",
GABRG1,2565,"Midazolam,Flurazepam,Diazepam,Oxazepam,Triazolam,Ethanol,Estazolam,Bromazepam,Clotiazepam,Ketazolam,Prazepam,Nitrazepam","DB00683,DB00690,DB00829,DB00842,DB00897,DB00898,DB01215,DB01558,DB01559,DB01587,DB01588,DB01595",
GABRG2,2566,"Midazolam,Flurazepam,Diazepam,Oxazepam,Triazolam,Estazolam,Ginkgo biloba,Bromazepam,Clotiazepam,Prazepam,Nitrazepam,Etizolam","DB00683,DB00690,DB00829,DB00842,DB00897,DB01215,DB01381,DB01558,DB01559,DB01588,DB01595,DB09166",
GABRG3,2567,"Midazolam,Flurazepam,Diazepam,Oxazepam,Triazolam,Ethanol,Estazolam,Bromazepam,Clotiazepam,Prazepam,Nitrazepam","DB00683,DB00690,DB00829,DB00842,DB00897,DB00898,DB01215,DB01558,DB01559,DB01588,DB01595",
GABRP,2568,"Midazolam,Flurazepam,Diazepam,Oxazepam,Triazolam,Ethanol,Estazolam,Bromazepam,Clotiazepam,Prazepam,Nitrazepam","DB00683,DB00690,DB00829,DB00842,DB00897,DB00898,DB01215,DB01558,DB01559,DB01588,DB01595",
GABRQ,55879,"Midazolam,Flurazepam,Diazepam,Oxazepam,Triazolam,Ethanol,Bromazepam,Nitrazepam","DB00683,DB00690,DB00829,DB00842,DB00897,DB00898,DB01558,DB01595",
GABRR1,2569,"Midazolam,Flurazepam,Diazepam,Oxazepam,Triazolam,Estazolam,Bromazepam,Clotiazepam,Prazepam,Nitrazepam","DB00683,DB00690,DB00829,DB00842,DB00897,DB01215,DB01558,DB01559,DB01588,DB01595",
GABRR2,2570,"Midazolam,Flurazepam,Diazepam,Oxazepam,Triazolam,Estazolam,Bromazepam,Clotiazepam,Prazepam,Nitrazepam","DB00683,DB00690,DB00829,DB00842,DB00897,DB01215,DB01558,DB01559,DB01588,DB01595",
GABRR3,200959,"Midazolam,Flurazepam,Diazepam,Oxazepam,Triazolam,Estazolam,Bromazepam,Clotiazepam,Prazepam,Nitrazepam","DB00683,DB00690,DB00829,DB00842,DB00897,DB01215,DB01558,DB01559,DB01588,DB01595",
GAD1,2571,Pyridoxal Phosphate,DB00114,
GAD2,2572,Pyridoxal Phosphate,DB00114,
GADL1,339896,Pyridoxal Phosphate,DB00114,
GAMT,2593,Guanidine,DB00536,
GAPDH,2597,NADH,DB00157,
GAPDHS,26330,"NADH,Zinc","DB00157,DB01593",
GC,2638,Oleic Acid,DB04224,True
GCAT,23464,Pyridoxal Phosphate,DB00114,
GGH,8836,"Folic Acid,Methotrexate","DB00158,DB00563",True
GGPS1,9453,Zoledronic acid,DB00399,
GGT1,2678,Glutathione,DB00143,
GHSR,2693,Macimorelin,DB13074,
GJA1,2697,Carvedilol,DB01136,
GLCCI1,113263,Pyridoxal Phosphate,DB00114,
GLDC,2731,Pyridoxal Phosphate,DB00114,
GLNA1,NaN,Citric Acid,DB04272,
GLO1,2739,"Glutathione,Indomethacin","DB00143,DB00328",
GLPF,NaN,Glycerin,DB09462,
GLRA1,2741,"Enflurane,Atropine,Isoflurane,Ethanol,Methoxyflurane,Halothane,Desflurane,Sevoflurane,Ginkgo biloba,Zinc,Cannabidiol","DB00228,DB00572,DB00753,DB00898,DB01028,DB01159,DB01189,DB01236,DB01381,DB01593,DB09061",
GLRA2,2742,Ethanol,DB00898,
GLRA3,8001,"Ivermectin,Cannabidiol","DB00602,DB09061",
GLRX,2745,Glutathione,DB00143,
GLRX2,51022,Glutathione,DB00143,
GLS,2744,Esculin,DB13155,True
GLTA,NaN,Citric Acid,DB04272,
GLTP,51228,Oleic Acid,DB04224,
GLUD1,2746,NADH,DB00157,
GLUD2,2747,NADH,DB00157,
GLUL,2752,"Ceftriaxone,Capsaicin","DB01212,DB06774",True
GNG2,54331,Halothane,DB01159,
GNMT,27232,"Ademetionine,Citric Acid","DB00118,DB04272",
GNPTAB,79158,Citric Acid,DB04272,
GNRHR,2798,"Leuprolide,Goserelin,Cetrorelix,Abarelix,Gonadorelin,Nafarelin,Danazol,Degarelix,Buserelin,Ganirelix,Triptorelin,Gestrinone","DB00007,DB00014,DB00050,DB00106,DB00644,DB00666,DB01406,DB06699,DB06719,DB06785,DB06825,DB11619",
GNRHR2,114814,"Gonadorelin,Nafarelin,Danazol","DB00644,DB00666,DB01406",
GOT1,2805,Pyridoxal Phosphate,DB00114,
GOT2,2806,Pyridoxal Phosphate,DB00114,
GP9,2815,Quinine,DB00468,
GPBAR1,151306,"Cholic Acid,Deoxycholic Acid","DB02659,DB03619",
GPD1,2819,NADH,DB00157,
GPER1,2852,"Estradiol,Estradiol acetate,Estradiol benzoate,Estradiol cypionate,Estradiol dienanthate,Estradiol valerate","DB00783,DB13952,DB13953,DB13954,DB13955,DB13956",
GPR12,2835,Cannabidiol,DB09061,
GPR18,2841,Cannabidiol,DB09061,
GPR35,2859,Pyrantel,DB11156,
GPR55,9290,"Rimonabant,Cannabidiol","DB06155,DB09061",
GPRC5A,9052,Tretinoin,DB00755,
GPT,2875,Pyridoxal Phosphate,DB00114,
GPT2,84706,Pyridoxal Phosphate,DB00114,
GPX1,2876,"Glutathione,Cannabidiol","DB00143,DB09061",True
GPX2,2877,Glutathione,DB00143,
GPX3,2878,Glutathione,DB00143,
GPX4,2879,Glutathione,DB00143,
GPX5,2880,Glutathione,DB00143,
GPX6,257202,Glutathione,DB00143,
GPX7,2882,Glutathione,DB00143,
GPX8,493869,Glutathione,DB00143,
GRIA1,2890,"Enflurane,Isoflurane,Ethanol,Methoxyflurane,Desflurane,Sevoflurane,Perampanel,Tianeptine,Fluciclovine (18F)","DB00228,DB00753,DB00898,DB01028,DB01189,DB01236,DB08883,DB09289,DB13146",
GRIA2,2891,"Pentobarbital,Secobarbital,Thiopental,Ethanol,Phenobarbital,Fluciclovine (18F)","DB00312,DB00418,DB00599,DB00898,DB01174,DB13146",
GRIA3,2892,"Ethanol,Fluciclovine (18F)","DB00898,DB13146",
GRIA4,2893,"Ethanol,Fluciclovine (18F)","DB00898,DB13146",
GRIK2,2898,"Pentobarbital,Secobarbital,Thiopental,Phenobarbital","DB00312,DB00418,DB00599,DB01174",
GRIN1,2902,"Atomoxetine,Pentobarbital,Secobarbital,Pethidine,Gabapentin,Memantine,Orphenadrine,Phenobarbital,Prasterone,Milnacipran,Acetylcysteine,Ketobemidone,Fluciclovine (18F)","DB00289,DB00312,DB00418,DB00454,DB00996,DB01043,DB01173,DB01174,DB01708,DB04896,DB06151,DB06738,DB13146",
GRIN2A,2903,"Pethidine,Felbamate,Memantine,Halothane,Acetylcysteine","DB00454,DB00949,DB01043,DB01159,DB06151",
GRIN2B,2904,"Pethidine,Haloperidol,Felbamate,Memantine,Acetylcysteine","DB00454,DB00502,DB00949,DB01043,DB06151",
GRIN2C,2905,Pethidine,DB00454,
GRIN2D,2906,"Pethidine,Orphenadrine,Acetylcysteine","DB00454,DB01173,DB06151",
GRIN3A,116443,"Tramadol,Methadone,Ethopropazine,Dextromethorphan,Procaine,Ethanol,Amantadine,Felbamate,Memantine,Halothane,Chloroprocaine,Orphenadrine,Ketamine,Acetylcysteine","DB00193,DB00333,DB00392,DB00514,DB00721,DB00898,DB00915,DB00949,DB01043,DB01159,DB01161,DB01173,DB01221,DB06151",
GRIN3B,116444,"Halothane,Orphenadrine","DB01159,DB01173",
GRM5,2915,Rufinamide,DB06201,
GSN,2934,Zinc,DB01593,
GSR,2936,"Glutathione,NADH,Carmustine,Cannabidiol","DB00143,DB00157,DB00262,DB09061",True
GSS,2937,"Glutathione,Acetylcysteine","DB00143,DB06151",
GSTA1,2938,Glutathione,DB00143,True
GSTA2,2939,"Glutathione,Chloroquine,Clofibrate,Etacrynic acid","DB00143,DB00608,DB00636,DB00903",True
GSTA3,2940,Glutathione,DB00143,
GSTA4,2941,Glutathione,DB00143,
GSTA5,221357,Glutathione,DB00143,
GSTK1,373156,Glutathione,DB00143,
GSTM1,2944,"Glutathione,Cisplatin","DB00143,DB00515",True
GSTM2,2946,Glutathione,DB00143,
GSTM3,2947,Glutathione,DB00143,
GSTM4,2948,Glutathione,DB00143,
GSTM5,2949,Glutathione,DB00143,
GSTO1,9446,Glutathione,DB00143,
GSTO2,119391,Glutathione,DB00143,
GSTP1,2950,"Glutathione,Acetaminophen,Clozapine,Cisplatin,Etoposide,Etacrynic acid,Sulfamethoxazole,Clomipramine,Deoxycholic Acid,Glycerin","DB00143,DB00316,DB00363,DB00515,DB00773,DB00903,DB01015,DB01242,DB03619,DB09462",True
GSTT1,2952,"Glutathione,Cisplatin,Etoposide","DB00143,DB00515,DB00773",True
GSTZ1,2954,Glutathione,DB00143,
GUAA,NaN,Citric Acid,DB04272,
GUCY1A2,2977,"Isosorbide Mononitrate,Riociguat","DB01020,DB08931",
GYRA,NaN,"Grepafloxacin,Enoxacin,Pefloxacin,Ciprofloxacin,Cinoxacin,Lomefloxacin,Norfloxacin,Levofloxacin,Ofloxacin,Sparfloxacin,Delafloxacin","DB00365,DB00467,DB00487,DB00537,DB00827,DB00978,DB01059,DB01137,DB01165,DB01208,DB11943",
GYRB,NaN,Novobiocin,DB01051,
H6PD,9563,NADH,DB00157,
HADH,3033,NADH,DB00157,
HADHA,3030,NADH,DB00157,
HAGH,3029,Glutathione,DB00143,
HBA1,3039,"Mefloquine,Zinc","DB00358,DB01593",
HBB,3043,Zinc,DB01593,
HCAR2,338442,Niacin,DB00627,
HCAR3,8843,Niacin,DB00627,
HCK,3055,Bosutinib,DB06616,
HDAC1,3065,"Arsenic trioxide,Zinc,Belinostat,Romidepsin,Panobinostat","DB01169,DB01593,DB05015,DB06176,DB06603",
HDAC2,3066,"Lovastatin,Theophylline,Valproic Acid,Aminophylline,Oxtriphylline,Romidepsin,Tixocortol","DB00227,DB00277,DB00313,DB01223,DB01303,DB06176,DB09091",
